ROW_ID;ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
806;6189;L'âge en fleur;ND;Terminée;26 min;Roger Van Mullem,  Colette Fleury;Claude Balyn, Paul Chevalier, Colette Mareuil;;France;1;16;"( Suite de la série ' L'Âge heureux ' )
 
Marie Soler est pensionnaire au Centre International de Danse. Depuis six ans, elle y travaille pour réaliser sa vocation tout en poursuivant ses études. Elle a 16 ans. Elle est ravissante, d'un courage à toute épreuve comme la danse l'exige. Ses dons laissent présager une brillante carrière et, bien entendu, la jeune fille rêve de devenir une étoile à l égale des plus grands...

Les aventures d'une adolescente dans le monde merveilleux de la danse classique, entre premiers succès et premières déceptions, premières amours et premiers chagrins.";https://str01-m.dpstream.media/s/6189/l'âge-en-fleur-1474438341.png;Série L'âge en fleur streaming,L'âge en fleur dpstream, Série L'âge en fleur HD, L'âge en fleur streaming VF
807;6188;Bienvenue à l'hôtel;ND;En cours;48 min;TF1;;;France;1;45;"Ils se sont lancé un pari fou : tenir un hôtel. Et pour ces 4 couples de passionnés, l'hôtellerie est bien plus qu'un métier, c'est toute une vie ! Pour la première fois, ces propriétaires vont prendre la route pour aller tester et juger les établissements de leurs confrères, à tour de rôle.
Tous sont persuadés d'avoir le meilleur hôtel mais, cette fois, leurs clients sont des experts. Ces concurrents très exigeants vont les noter sur plusieurs critères : le cadre et la situation de l'établissement, l'accueil et les prestations, la qualité des extras et la chambre. Rien ne va leur échapper ! Sans oublier le rapport qualité prix puisqu'à la fin de leur séjour, les couples invités devront payer le tarif qui leur semble le plus juste.
Tous découvriront leurs notes et le contenu de l'enveloppe lors de la finale de vendredi. Entre l'hôtel de charme, l'auberge, l'hôtel de luxe ou encore l'hôtel insolite, qui remportera la semaine de compétition, lequel d'entre-eux obtiendra les meilleures notes et le meilleur rapport qualité/prix ?
Qui obtiendra le titre de meilleur hôtel de la semaine et la somme de 3000 ?

...";https://str01-m.dpstream.media/s/6188/bienvenue-à-l'hôtel-1474354427.jpg;Série Bienvenue à l'hôtel streaming,Bienvenue à l'hôtel dpstream, Série Bienvenue à l'hôtel HD, Bienvenue à l'hôtel streaming VF
808;6187;Le Mag / Daily Mag (NRJ 12);ND;En cours;35 min;Colin-Gaspard Gendrault,  Sylvain Mami;Matthieu Delormeau, Ayem Nour, Benoît Dubois, Karima Charni, Capucine Anav, Martial Betirac, Jeny Priez, Caroline Receveu;;France;6;ND;"L'émission, diffusée en fin d'après-midi (entre 17h et 18h), a été conçue comme une rampe de lancement du programme Les Anges de la télé réalité. Par la suite, Le Mag est devenu l'émission qui introduit tous les programmes de série-réalité et de réalité scénarisée lancées en quotidienne sur NRJ12 (L'île des vérités, Hollywood Girls : Une nouvelle vie en Californie...). Pour cette raison, le nom de l'émission a varié en même temps que les émissions qu'il précède ; la diffusion de cette émission est donc aléatoire, tenant compte des émissions de série-réalité lancées par NRJ 12. 
Cependant, l'émission est devenue indépendante, tout en faisant la promotion des émissions diffusées à la suite...

Saison 01 (2011)
- du 20110110 au 20110217 : Les Anges de la téléréalité : le Mag (précède Les Anges de la téléréalité saison 1)
- du 20110523 au 20110626 : Les Anges de la téléréalité 2, le Mag (introduit Les Anges de la téléréalité saison 2)
- du 20110627 au 20110708 : Les anges de la télé, le Mag (introduit Vincent McDoom à la conquête d'Hollywood du 29 juin au 5 juillet et Les vacances presque parfaites de Christine Bravo du 8 au 12 juillet).

Saison 02 (2011-2012)
- du 20110829 au 20110909 : Les anges de la télé, le Mag (introduit la série-réalité Les anges gardiens)
- du 20110926 au 20111202 : Les Anges de la téléréalité 3, le Mag (introduit Les Anges de la téléréalité saison 3)
- du 20120416 au 20120629 : Les Anges de la téléréalité 4, le Mag (introduit Les Anges de la téléréalité saison 4)

Saison 03 (2012-2013)
- du 20120827 au 20121102 : Hollywood Girls 2, le Mag (introduit Hollywood Girls saison 2)
- du 20121105 au 20121204 : L'Île des Vérités 2, le Mag (introduit L'Île des vérités saison 2)
- du 20121205 au 20121221 : Star Ac' 9, le Mag (introduit Star Academy saison 9)
- du 20130305 au 20130703 : Les Anges de la téléréalité 5, le Mag (introduit Les Anges de la téléréalité saison 5)

Saison 04 (2013-2014)
- du 20140310 au 20140704 : Les Anges de la téléréalité 6, le Mag (introduit Les Anges de la téléréalité saison 6)

Saison 05 (2014-2015)
- du 20140825 au 20140926 : Le Mag (introduit L'Île des vérités saison 4)
- du 20140929 au 20141128 : Le Mag (introduit Friends Trip saison 1)
- du 20141201 au 20141219 : Le Mag (introduit des rediffs des Anges de la Téléréalité 6)
- du 20150309 au 20150703 : Le Mag (introduit Les Anges de la Téléréalité 7)

Saison 06 (2015-2016)
- du 20150831 au 20151016 : Le Mag (introduit Les Anges de la Téléréalité 8)
- du 20151020 au 20151023 : Le Mag est précédé du Daily Mag (introduit Les Ieuvs : Coup de jeunes à Vegas)
- du 20151026 au 2015.....  : Le Daily + Le Mag (diffusé seul)

INFOS :
Seuls, les épisodes du Mag ne précédant pas de diffusion d'inédits de téléréalité sont à ajouter ici)
Les épisodes de la saison 5 à ajouter sont des épisodes qui précédent des rediffusions de téléréalités.
Les autres épisodes, vous les retrouverez associés avec les épisodes de téléréalités concernés.

...";https://str01-m.dpstream.media/s/6187/le-mag--daily-mag-(nrj-12)-1474354385.jpg;Série Le Mag / Daily Mag (NRJ 12) streaming,Le Mag / Daily Mag (NRJ 12) dpstream, Série Le Mag / Daily Mag (NRJ 12) HD, Le Mag / Daily Mag (NRJ 12) streaming VF
809;6186;Les Copains de la Forêt;ND;Terminée;15 min;Philippe Tierney;;;France;1;52;Un incendie a chassé les animaux de la forêt. Sept dentre eux, Jeff lécureuil, Noémie la souris, Dédé le renard, Achille le sanglier, Gladys loursonne, Zoé et Martin les jumeaux lapins, Titouan le petit cerisier  vont devenir de vrais amis. Aidés par le Vieux chêne, sage visionnaire aux pouvoirs magiques, ils forment une bande de copains solidaires et inséparables.;https://str01-m.dpstream.media/s/6186/les-copains-de-la-forêt-1474354305.jpg;Série Les Copains de la Forêt streaming,Les Copains de la Forêt dpstream, Série Les Copains de la Forêt HD, Les Copains de la Forêt streaming VF
810;6185;Marco Polo (2014);ND;En cours;52 min;John Fusco;Benedict Wong, Lorenzo Richelmy, Zhu Zhu;;États-Unis;1;10;Une chronique des célèbres aventures de Marco Polo alors qu'il voyage à travers le monde. Seul sa pratique des arts martiaux lui permet de survivre à une époque où les trahisons politiques et les relations interdites sont légion.;https://str01-m.dpstream.media/s/6185/marco-polo-(2014)-1474354091.jpg;Série Marco Polo (2014) streaming,Marco Polo (2014) dpstream, Série Marco Polo (2014) HD, Marco Polo (2014) streaming VF
811;6184;Flynn Carson et les nouveaux aventuriers (The Librarians);ND;En cours;42 min;John Rogers (II);Noah Wyle, Rebecca Romijn, Lindy Booth;;États-Unis;2;20;"Les téléfilms Les Aventures de Flynn Carson mettaient en scène un conservateur de bibliothèque, que les missions menaient aux quatre coins du monde pour d'incroyables aventures. Dans la série, une nouvelle équipe de bibliothécaires tente de résoudre d'impossibles mystères, de découvrir de puissants artefacts et de combattre de dangereuses menaces surnaturelles. La relève est-elle assurée ?

-- Titre original : The Librarians";https://str01-m.dpstream.media/s/6184/flynn-carson-et-les-nouveaux-aventuriers-(the-librarians)-1474353950.jpg;Série Flynn Carson et les nouveaux aventuriers (The Librarians) streaming,Flynn Carson et les nouveaux aventuriers (The Librarians) dpstream, Série Flynn Carson et les nouveaux aventuriers (The Librarians) HD, Flynn Carson et les nouveaux aventuriers (The Librarians) streaming VF
812;6183;Qui allez-vous croire ?;ND;En cours;99 min;NRJ 12;Sébastien Cauet;;France;1;5;"Pour ce grand show d'humour, Cauet reçoit un invité principal et des people « candidats ».
L'animateur et son complice défendent tour à tour une affirmation drôle, absurde et improbable.
Mais une seule des deux est vraie.
Le people « candidat » doit alors identifier le bluffeur et valider la bonne réponse pour débloquer la cagnotte qui peut atteindre 30 000 euros.


01 x 01 - 20141209 - Cauet Vs Kev Adams
01 x 02 - 20141216 - Cauet Vs Jean-Marie Bigard
01 x 03 - 20150404 - Cauet Vs Fabrice Eboué

...";https://str01-m.dpstream.media/s/6183/qui-allez-vous-croire-1474353872.jpg;Série Qui allez-vous croire ? streaming,Qui allez-vous croire ? dpstream, Série Qui allez-vous croire ? HD, Qui allez-vous croire ? streaming VF
813;6182;L'Âge heureux;ND;Terminée;26 min;Roger Van Mullem,  Colette Fleury;;;France;1;8;"A lécole des petits rats de lOpéra de Paris, les jeunes élèves espèrent toutes un beau jour devenir danseuses étoiles. Ivan Barlof, le Maître de ballet, a fait son choix pour « Galatée ». Ce sera Delphine Nadal, au détriment de la première du cours, Julie Alberti. Peu après, en ouvrant la porte qui donne sur les toits de lopéra, laissée entrebâillée en raison de travaux, Delphine et son amie Bernadette franchissent linterdit. En laissant la clef dans un pot de peinture, elles savent quelles pourront y retourner et ne manquent pas den parler à leurs camarades. Plus jalouse que jamais, Julie a compris le manège et sapprête à se venger.

-- INFO : cette série a fait l'objet d'une suite
http://www.dpstream.net/liste-series-en-streaming.html";https://str01-m.dpstream.media/s/6182/l'Âge-heureux-1474353822.jpg;Série L'Âge heureux streaming,L'Âge heureux dpstream, Série L'Âge heureux HD, L'Âge heureux streaming VF
814;6181;Une Maman formidable;ND;En cours;ND;D8;;;France;1;10;"Quatre mamans aux profils variés participent à une expérience inédite.
Elles sont fières de la manière dont elles élèvent leurs enfants mais sont curieuses de voir comment cela se passe chez les autres.
Les quatre premiers jours de la semaine, chaque épisode présente l'une des mamans et sa famille.
Celle-ci accueille chez elle ses concurrentes qui vont la noter selon différents critères : la chambre des enfants, l'organisation d'une activité en famille, les repas et enfin le style d'éducation.
Le vendredi, elles sont toutes réunies pour savoir qui est la 'mère de la semaine' et qui a gagné un voyage pour sa famille.";https://str01-m.dpstream.media/s/6181/une-maman-formidable-1474353649.jpg;Série Une Maman formidable streaming,Une Maman formidable dpstream, Série Une Maman formidable HD, Une Maman formidable streaming VF
815;6180;Chasseur de legendes, avec Josh Bernstein (Digging for the Truth);ND;Terminée;ND;;;;;ND;ND;"Plus d'infos
http://www.imdb.com/name/nm1832290/
http://en.wikipedia.org/wiki/Digging_for_the_Truth";https://str01-m.dpstream.media/s/6180/chasseur-de-legendes,-avec-josh-bernstein-(digging-for-the-truth)-147435346;Série Chasseur de legendes, avec Josh Bernstein (Digging for the Truth) streaming,Chasseur de legendes, avec Josh Bernstein (Digging for the Truth) dpstream, Série Chasseur de legendes, avec Josh Bernstein (Digging for the Truth) HD, Chasseur de legendes, avec Josh Bernstein (Digging for the Truth) streaming VF
816;6179;Chasseurs de légendes (Legend Hunters);ND;Terminée;45 min;;;;Canada;2;ND;"1 x 1 - ... (Ghosts)	 
1 x 2 - La vie extra-terrestre (Aliens)
1 x 3 - ... (Myths of the Iroquois)
1 x 4	 - ... (Sea Monsters)	
1 x 5	 - Les Templiers et l'Arche d'Alliance (The Templars and the Ark of the Covenant)	
1 x 6	 - ... (Bigfoot)

Plus d'info
http://thetvdb.com/?tab=series&id=82209";https://str01-m.dpstream.media/s/6179/chasseurs-de-légendes-(legend-hunters)-1474353345.jpg;Série Chasseurs de légendes (Legend Hunters) streaming,Chasseurs de légendes (Legend Hunters) dpstream, Série Chasseurs de légendes (Legend Hunters) HD, Chasseurs de légendes (Legend Hunters) streaming VF
817;6178;Rescue unité spéciale (Rescue: Special Ops);ND;Terminée;60 min;Julie McGauran,  Sarah Smith;Andrew Lees, Leslie Hill, Katherine Hicks;;Australie;3;48;Une équipe de sauveteurs expérimentés jonglent tous les jours entre les opérations délicates de sauvetage, la mort, mais aussi leur vie personnelle.;https://str01-m.dpstream.media/s/6178/rescue-special-ops-1474352676.jpg;Série Rescue unité spéciale (Rescue: Special Ops) streaming,Rescue unité spéciale (Rescue: Special Ops) dpstream, Série Rescue unité spéciale (Rescue: Special Ops) HD, Rescue unité spéciale (Rescue: Special Ops) streaming VF
818;6177;La Rivière Espérance;ND;Terminée;90 min;Christian Signol;Claire Nebout, Manuel Blanc, Carole Richert;;France;1;9;1832, dans la région du Périgord. Benjamin rêve de devenir gabardier, comme son père. Mais ce métier est difficile, dangereux, tout comme la Dordogne sur laquelle il faut naviguer...;https://str01-m.dpstream.media/s/6177/la-rivière-espérance-1474352139.jpg;Série La Rivière Espérance streaming,La Rivière Espérance dpstream, Série La Rivière Espérance HD, La Rivière Espérance streaming VF
819;6176;Pieds nus sur le sol rouge (Descalç sobre la terra vermella);ND;En cours;90 min;Oriol Ferrer;Eduard Fernández, Pablo Derqui, Eduardo Magalhaes;;Espagne;1;2;"En 1988, le père Casaldàliga, évêque de São Felix do Araguaia, au Brésil, est volontaire pour fonder une mission à São Felix, dans le Mato Grosso,le père Casaldàliga y arrive plein d'illusions et d'enthousiasme. Il sait que sa mission sera difficile, qu'il devra affronter la misère, la maladie et l'analphabétisme. Mais São Felix est une ville sans foi ni loi, en proie à la violence et à la corruption. Très rapidement, il découvre la terrible réalité : des ouvriers agricoles qui travaillent et vivent comme des esclaves, des paysans obligés d'abandonner leurs terres et des villages d'Indiens menacés d'extinction. Il comprend aussi que rester neutre est impossible.

Titre original : Descalç sobre la terra vermella

.";https://str01-m.dpstream.media/s/6176/pieds-nus-sur-le-sol-rouge-(descalç-sobre-la-terra-vermella)-1474352099.jp;Série Pieds nus sur le sol rouge (Descalç sobre la terra vermella) streaming,Pieds nus sur le sol rouge (Descalç sobre la terra vermella) dpstream, Série Pieds nus sur le sol rouge (Descalç sobre la terra vermella) HD, Pieds nus sur le sol rouge (Descalç sobre la terra vermella) streaming VF
820;6175;Génération Canal+ (Génération Canal Plus);ND;Terminée;85 min;;Chantal Lauby, Jean-Luc Lemoine;;France;1;2;"Chantal Lauby et Jean-Luc Lemoine sillonnent Canal+ de long en large à l'automne 2012. 
Leur mission ? Enquêter sur «l'humour Canal» et livrer le meilleur du langage fleuri et si singulier de la chaîne depuis sa création. L'indiscipliné tandem invite de prestigieux invités à participer à de savoureuses saynètes, qui introduisent un certain nombre de séquences cultes de Canal+, comme celles créés par Les Nuls, Les Robins des Bois, De Caunes et Garcia ou encore Les Deschiens.

Plusieurs formats selon la chaine de diffusion
- découpés en 6 épisode sur la Chaîne Comédie! (en 2012)
- découpés en 2 épisodes sur D8 (en 2014)";https://str01-m.dpstream.media/s/6175/génération-canal+-(génération-canal-plus)-1474352043.jpg;Série Génération Canal+ (Génération Canal Plus) streaming,Génération Canal+ (Génération Canal Plus) dpstream, Série Génération Canal+ (Génération Canal Plus) HD, Génération Canal+ (Génération Canal Plus) streaming VF
821;6174;Nous, les hommes de 14-18 (Our World War);ND;En cours;60 min;;Gerard Kearns, Ross Armstrong, Theo Barklem-Biggs;;Royaume-Uni;1;3;"Le quotidien des soldats britanniques pendant la Première Guerre mondiale. 
Les Anglais du 4e Bataillon des Royal Fusiliers découvrent les horreurs de la guerre lors de la tristement célèbre bataille de Mons, en Belgique, en août 1914. Les soldats, qui protègent les différents ponts bâtis sur le canal et menant à l'intérieur de la ville, sont pour la première fois confrontés aux forces allemandes. Les hommes chargés de garder le pont de Nimy sont tout particulièrement exposés à la rudesse du combat...";https://str01-m.dpstream.media/s/6174/nous,-les-hommes-de-14-18-(our-world-war)-1474351881.jpg;Série Nous, les hommes de 14-18 (Our World War) streaming,Nous, les hommes de 14-18 (Our World War) dpstream, Série Nous, les hommes de 14-18 (Our World War) HD, Nous, les hommes de 14-18 (Our World War) streaming VF
822;6173;V;ND;Terminée;ND;;;;;ND;ND;;/img/no_movie.png;Série V streaming,V dpstream, Série V HD, V streaming VF
823;6172;Interventions;ND;En cours;52 min;Jean-Yves Pitoun;Anthony Delon, Michael Massee, Clémence Thioly;;France;1;6;Enfants de la DDASS, Roman Lucas a grandi de foyers en familles d'accueil. Entre les coups, les insultes, les brimades et l'indifférence, il a appris à travailler seul, en ne se laissant guider que par son propre instinct, en dépit des règles établies. Aujourd'hui les codes et les idées reçues. Bien qu'il possède un don extraordinaire pour donner la vie, il n'en reste pas moins un homme pétri de contradictions aux yeux des membres de son service. Auprès de lui, ces derniers réaliseront que si la médecine est complexe, la vie, elle, l'est bien plus encore...;https://str01-m.dpstream.media/s/6172/interventions-1474351722.jpg;Série Interventions streaming,Interventions dpstream, Série Interventions HD, Interventions streaming VF
824;6171;Duel au soleil;ND;En cours;52 min;Marc-Antoine Laurent;Gérard Darmon, Yann Gael, Jeanne Bournaud;;France;2;12;Ange Renucci, un flic corse aux méthodes très 'personnelles', voit débarquer sur son île un nouvel adjoint quon lui impose. Sébastien Le Tallec est jeune, breton, noir et globalement très attaché au règlement. Chaque nouvelle enquête sera loccasion de mettre à lépreuve ce duo dans les décors spectaculaires de lîle de Beauté.;https://str01-m.dpstream.media/s/6171/zzaf---duel-au-soleil---v1-1467908642.jpg;Série Duel au soleil streaming,Duel au soleil dpstream, Série Duel au soleil HD, Duel au soleil streaming VF
825;6170;Ceux de 14;ND;En cours;52 min;Didier Dolna,  Olivier Schatzky;Esther Comar, Michaël Cohen, Théo Frilet;;France;1;6;"Quand Maurice Genevoix est blessé grièvement aux Eparges le 25 avril 1915, il sait que sa guerre est finie, mais il n'éprouve aucun soulagement. Il n'éprouve que l'amertume de quitter ses hommes. Ceux avec lesquels il a passé 9 mois, le temps de forger dans le creuset terrible de la guerre, une fraternité indissoluble... 

Fiction inspirée du Ceux de 14, un recueil de récits de guerre rassemblés en 1949 par Maurice Genevoix, lui-même ancien combattant de la Première Guerre Mondiale.";https://str01-m.dpstream.media/s/6170/ceux-de-14-1474351442.jpg;Série Ceux de 14 streaming,Ceux de 14 dpstream, Série Ceux de 14 HD, Ceux de 14 streaming VF
826;6169;Roman noir (Mystery Woman);ND;Terminée;80 min;Walter Klenhard,  Kellie Martin,  Georg Stanford Brown,  David S. Cass Sr;Kellie Martin, Nina Siemaszko, Clarence Williams, Casey Sander;;États-Unis;1;11;"Samantha Kinsey est la propriétaire d'une librairie spécialisée dans les livres à mystères. Elle se retrouve impliquée dans la résolution de mystère dans le monde réel. 

-- Titre original : Mystery Woman -- 

01 x 01 - Pilot (2003-Mystery Woman)
01 x 02 - Le venin du désespoir (2005-Mystery Woman: Mystery Weekend)
01 x 03 - Photos de famille (2005-Mystery Woman: Snapshot)
01 x 04 - Mélodie pour un meurtre (2005-Mystery Woman: Sing Me a Murder)
01 x 05 - Injection mortelle (2005-Mystery Woman: Vision of a Murder)
01 x 06 - Les jeux sont faits (2005-Mystery Woman: Game Time)
01 x 07 - Loin des yeux (2006-Mystery Woman: At First Sight)
01 x 08 - Les mystères de l'ouest (2006-Mystery Woman: Wild West Mystery)
01 x 09 - Un enfant dans la tourmente (2006-Mystery Woman: Oh Baby)
01 x 10 - Chasse au trésor (2006-Mystery Woman: Redemption)
01 x 11 - Nid d'espions (2007-Mystery Woman: In the Shadows)


Référencé sur :
http://en.wikipedia.org/wiki/Mystery_Woman
http://fr.wikipedia.org/wiki/Roman_noir_%28s%C3%A9rie_de_t%C3%A9l%C3%A9films%29

Mais sur Allociné, référencé en FILM titre par titre";https://str01-m.dpstream.media/s/6169/roman-noir-(mystery-woman)-1474351366.jpg;Série Roman noir (Mystery Woman) streaming,Roman noir (Mystery Woman) dpstream, Série Roman noir (Mystery Woman) HD, Roman noir (Mystery Woman) streaming VF
827;6168;Criss Angel Believe;ND;En cours;40 min;;Criss Angel, Krystyn Lambert;;États-Unis;1;10;"Depuis plus de dix ans, le nom de Criss Angel domine le monde de la magie sur toute la planète. Son spectacle «Criss Angel : Believe» révolutionne l'univers de la magie et de l'illusion en invitant les téléspectateurs à découvrir l'envers du décor. Des préparatifs aux entraînements avec son équipe, jusqu'à la création et la réalisation des tours, Criss Angel révèle aussi quelques astuces. «Le maître des illusions» est un numéro de mentalisme, inspiré du film de Clive Barker. Criss est allongé sur une «table de la mort». Six épées sont suspendues au-dessus de lui et une épée fatale est dirigée sur son coeur. Des spectateurs choisis au hasard déterminent l'ordre de la chute des épées. Criss a prédit la séquence deux jours avant la représentation. Elle doit être correcte s'il veut éviter de recevoir une épée en plein coeur.


Titre original : Criss Angel Believe
Créée en 2013

Saisons : 01 - Épisodes : 10 - Statut : En production
Format : 40 mn - Genre : Docu-réalité, Magie, Illusion - Nationalité : Américaine
Avec Criss Angel, Banachek, Krystyn Lambert";https://str01-m.dpstream.media/s/6168/criss-angel-believe-1474351307.jpg;Série Criss Angel Believe streaming,Criss Angel Believe dpstream, Série Criss Angel Believe HD, Criss Angel Believe streaming VF
828;6167;Affaires de famille;ND;Terminée;25 min;James Nadler;Doug Murray, Ephraim Ellis, Kate Corbett;;Canada, France, États-Unis;1;26;"Imaginez la douce chaleur d'un foyer... celui de la famille Keller sur lequel règnent sans partage Véro, Avalon et Eli, trois ados épris de liberté, dont le quotidien n'est jamais perturbé par leurs parents, trop occupés par leur vie professionnelle. Jusqu'au jour où... David est licencié de son travail et décide de réquisitionner le grenier familial, transformant son doux foyer en 'Keller S.A.R.L.'. Régissant la vie de famille comme une entreprise, David distribue postes et mémos, organise brain stormings et plannings. Même la petite Véro se voit dotée d'une carte de visite à son nom avec 'Vice-Présidente-Finances'. David n'a de cesse de résoudre les conflits quotidiens par des solutions 'business', dont l'inadéquation ne peut qu'exacerber les antagonismes générationnels ! Bientôt les enfants n'auront plus qu'un seul but : virer papa de la maison !

Titre original : Family Biz";https://str01-m.dpstream.media/s/6167/family-biz-1474351201.jpg;Série Affaires de famille streaming,Affaires de famille dpstream, Série Affaires de famille HD, Affaires de famille streaming VF
829;6166;Le Monde de Jamy;ND;En cours;99 min;France 3;Jamy Gourmaud;;France;3;9;"Le Monde de Jamy est une collection de documentaires inédits sur le thème du savoir et de la découverte qui montre le spectacle de la terre dans toute sa diversité sous le regard curieux et complice de Jamy Gourmaud que les téléspectateurs de France 3 connaissent bien.

Saison 01
01 x 01 - 20140507-Des volcans et des hommes
01 x 02 - 20140910-Dans le secret des bâtisseurs
01 x 03 - 20141126-Au cur de la faune sauvage

Saison 02
02 x 01 - 20150422-La vie cachée des montagnes
02 x 02 - 20150715-Des forêts et des hommes
02 x 03 - 20151111-Quand notre météo devient folle !";https://str01-m.dpstream.media/s/6166/le-monde-de-jamy-1474350927.jpg;Série Le Monde de Jamy streaming,Le Monde de Jamy dpstream, Série Le Monde de Jamy HD, Le Monde de Jamy streaming VF
830;6165;L'Aéropostale, courrier du ciel;ND;Terminée;55 min;Edouard Bobrowski,  Marcel Jullian;Jean-François Garreaud, Bernard Fresson, Michel Duchaussoy, Robert Rimbaud, Pierre Londiche, Renée Faure, Anne Jolivet, Jean-Paul Tribout;;Belgique;1;6;En septembre 1918, alors que le premier conflit mondial fait toujours rage, l'industriel toulousain Pierre-Georges Latécoère songe déjà à l'aviation d'après-guerre. Il imagine de relier la France à l'Amérique du Sud par un service régulier d'avions transportant du courrier grâce aux surplus d'appareils militaires désormais devenus inutiles. Il soumet son projet aux autorités qui l'accueillent avec beaucoup de scepticisme. Aidé par son principal collaborateur, Beppo de Massimi, Latécoère fonde les 'Lignes Aériennes Latécoère' en décembre 1918. Le 9 mars 1919, Latécoère atterrit à Rabat. Il remet au général Lyautey un exemplaire du journal 'Le Temps' paru la veille et un bouquet de violettes cueilli la veille à Toulouse. La poste aérienne est née. Didier Daurat, un jeune capitaine à forte personnalité qui a été récemment démobilisé, s'associe à l'aventure de l'industriel en s'engageant comme pilote à la Compagnie Latécoère...;https://str01-m.dpstream.media/s/6165/l'aéropostale,-courrier-du-ciel-1474350893.jpg;Série L'Aéropostale, courrier du ciel streaming,L'Aéropostale, courrier du ciel dpstream, Série L'Aéropostale, courrier du ciel HD, L'Aéropostale, courrier du ciel streaming VF
831;6164;Une Saison au Zoo;ND;En cours;26 min;France 4;;;France;4;198;"Cette série-réamoté suit, jour après jour, les soigneurs animaliers, vétérinaires, responsables d'hébergement, commerciaux, jardiniers, qui ont entre 20 et 30 ans, du Parc Zoologique de la Flèche dans la Sarthe.

- Saison 1 : 41 épisodes
- Saison 2 : 56 épisodes
- Saison 3 : 46 épisodes + 09 Best Of
- Saison 4 : 45 épisodes + 01 Best Of";https://str01-m.dpstream.media/s/6164/une-saison-au-zoo-1474285939.jpg;Série Une Saison au Zoo streaming,Une Saison au Zoo dpstream, Série Une Saison au Zoo HD, Une Saison au Zoo streaming VF
832;6163;Halo : Nightfall;ND;Terminée;25 min;Paul Scheuring;Mike Colter, Christina Chong, Steven Waddington;;États-Unis;1;5;Jameson Locke est une des étoiles montantes de lunité des Spartans. Envoyé avec son équipe sur une lointaine colonie pour enquêter sur des actes terroristes, il y découvre un artéfact dune puissance inimaginable. Pour survivre, il leur faudra se battre, tout remettre en question et, finalement, choisir entre la loyauté et leurs vies.;https://str01-m.dpstream.media/s/6163/halo-nightfall-1474285861.jpg;Série Halo : Nightfall streaming,Halo : Nightfall dpstream, Série Halo : Nightfall HD, Halo : Nightfall streaming VF
833;6162;Evermoor;ND;Terminée;20 min;Howard Overman;Naomi Sequeira, Margaret Cabourn-Smith;;États-Unis;ND;ND;"Tara Bailey, une adolescente américaine, emménage avec sa famille dans un village lugubre au fin fond de lAngleterre, où ils ont hérité dun vieux manoir.

Titre original : Evermore";https://str01-m.dpstream.media/s/6162/evermoor-1474285796.jpg;Série Evermoor streaming,Evermoor dpstream, Série Evermoor HD, Evermoor streaming VF
834;6161;Seuls face à l'Alaska (Mountain Men);ND;En cours;42 min;;;;États-Unis;2;24;"Cette série met en scène des personnages hauts en couleurs vivant de la nature en milieu montagnard particulièrement hostile.

http://fr.wikipedia.org/wiki/Seuls_face_%C3%A0_l%27Alaska";https://str01-m.dpstream.media/s/6161/seuls-face-à-l'alaska-(mountain-men)-1474285747.jpg;Série Seuls face à l'Alaska (Mountain Men) streaming,Seuls face à l'Alaska (Mountain Men) dpstream, Série Seuls face à l'Alaska (Mountain Men) HD, Seuls face à l'Alaska (Mountain Men) streaming VF
835;6160;Bleak House;ND;Terminée;25 min;;Anna Maxwell, Denis Lawson, Patrick Kennedy;;Royaume-Uni;1;15;"Le richissime John Jarndyce accueille dans son domaine, Bleak House, trois enfants dont il a obtenu la tutelle. Tout porte à croire qu'un avenir radieux s'ouvre désormais à eux, mais la malchance semble poursuivre tous les occupants de la maison...

Bleak House est une nouvelle adaptation du roman de Charles Dickens, connu en France sous le titre 'La maison d'âpre-vent'.";https://str01-m.dpstream.media/s/6160/bleak-house-1474285544.jpg;Série Bleak House streaming,Bleak House dpstream, Série Bleak House HD, Bleak House streaming VF
836;6159;Adrénaline;ND;Terminée;50 min;Tony Cavanaugh et Simone North;;;Australie;3;48;"Cette série met en scène une équipe médicale des urgences de l'hôpital Bethlehem de Brisbane. Cette unité, unique en Australie, est spécialisée dans l'évacuation en hélicoptère de victimes dans des zones dont l'accès est difficile.
Titre original : Medivac, Adrenalin Junkies";https://str01-m.dpstream.media/s/6159/medivac,-adrenalin-junkies-1474285474.jpg;Série Adrénaline streaming,Adrénaline dpstream, Série Adrénaline HD, Adrénaline streaming VF
